PRODUTC,VALUE,DATETIME,CELL_ON_SITE,DW_A_NUMBER_INT,DW_B_NUMBER_INT,COUNTRY_A,COUNTRY_B,CELL_ID,SITE_ID
sms,0,27:50.0,2,cb6a02fde166b94,aaaf0e4bdec7311,19e2e,19e2e,6i0cAvBgMU,6i0cAvBgMU
sms,0,27:50.0,4,4b74fe6e712a7ec,93343ba6e41af95,19e2e,19e2e,84GaTlSvVd,84GaTlSvVd
sms,0,27:56.0,2,efc0def68212677,53c3da9b7651816,19e2e,19e2e,6hDV1hwf/K,6hDV1hwf/K
sms,0,28:02.0,1,e8191b4c796f6a8,af55cd91665c25b,19e2e,19e2e,0ttcCQTcpb,0ttcCQTcpb
sms,0,28:10.0,5,8f8ecd43cb730d0,fdb8b764172befd,19e2e,19e2e,3/2ZhYCSrj,3/2ZhYCSrj
sms,25,28:11.0,2,51a71ec23d0bd34,ead1c3ec8a18f58,19e2e,19e2e,0eNnL1pokg,0eNnL1pokg
Voice,23,28:28.0,0,692cab6a803ea94,0374500ad7b3cac,19e2e,19e2e,8lrPAakdPZ,8lrPAakdPZ
sms,0,28:46.0,2,c0c17a3a498181d,9fb0484d0a8d769,19e2e,19e2e,6dZgOHeA29,6dZgOHeA29
Voice,0,28:51.0,4,193e17ed640825b,55ad144fa74fddc,19e2e,19e2e,A13t/dPIcF,A13t/dPIcF
Voice,90,29:01.0,5,f7dbbc10ec533a6,45879bc480fa2ec,19e2e,19e2e,2LuHm8D2MC,2LuHm8D2MC
Voice,60,29:02.0,1,6dec4f58ecd19de,bc141e8d24dedb7,19e2e,19e2e,51qrsXM+vt,51qrsXM+vt
data,0,29:17.0,_,4e04702c7b73252,5a4dc9e82deb309,19e2e,OTHER,4jFl+3ArCh,4jFl+3ArCh
sms,0,29:18.0,1,b490b6511c3d18d,69e79c027c6017a,19e2e,19e2e,22Z3fM8uPX,22Z3fM8uPX
sms,0,29:23.0,1,6117819e1f73742,f6d607406d22a6f,19e2e,19e2e,/eeMklgyJA,/eeMklgyJA
sms,0,29:30.0,1,40b900aa5c16b4f,5d5826c3f5ad437,19e2e,19e2e,#NAME?,#NAME?
sms,0,29:32.0,5,d865d3e0e6033d9,4119f48fbd21f1b,19e2e,19e2e,72oK29w3II,72oK29w3II
sms,0,29:33.0,2,1457b8d494c5c90,e8feca50cc82cff,19e2e,19e2e,A4qKbVuQeJ,A4qKbVuQeJ
sms,0,29:44.0,0,a2a70a772ad43b7,1606f19011b0e47,19e2e,19e2e,+ZaaZozy/+,+ZaaZozy/+
data,0,29:44.0,_,95df41b984e54b5,5a4dc9e82deb309,19e2e,OTHER,/xvRrCVKoQ,/xvRrCVKoQ
Voice,0,29:47.0,0,25f507ce5b2721b,dbcf477fe185888,19e2e,19e2e,/u0FSD+ahi,/u0FSD+ahi
